"notation","title","description","id"
"1","Mathematisch argumentieren","""""Zu dieser Kompetenz gehören sowohl das Entwickeln eigenständiger, situationsangemessener mathematischer Argumentationen (wie Begründungen, Beweise), als auch das Erläutern, Prüfen und Begründen von Lösungswegen und das begründete Äußern von Vermutungen. Das Spektrum reicht dabei von einfachen Plausibilitätsargumenten über inhaltlich-anschauliche Begründungen bis hin zu Argumentationsketten. \n\n Die Schülerinnen und Schüler""""","a6b"
"1.1","Reproduzieren","","c7p"
"1.1.1","geben vertraute Argumentationen wieder (wie Rechnungen, Verfahren, Herleitungen, Sätze),","","q2r"
"1.1.2","formulieren typische Fragen, die auf Argumentationen zielen („Wie verändert sich…?“, „Ist das immer so …?“),","","u6t"
"1.1.3","begründen angemessen auf Basis von Alltagswissen,","","z6p"
"1.2","Zusammenhänge herstellen","","d3v"
"1.2.1","entwickeln und erläutern überschaubare mehrschrittige Argumentationen,","","z3p"
"1.2.2","erläutern Lösungswege und prüfen sie u. a. auf Konsistenz,","","h4t"
"1.2.3","bewerten Ergebnisse und Aussagen auch bzgl. ihres Anwendungskontextes,","","h7g"
"1.2.4","erläutern mathematische Zusammenhänge, Ordnungen und logische Strukturen,","","r7d"
"1.3","Verallgemeinern und Reflektieren","","g2u"
"1.3.1","entwickeln und erläutern komplexe Argumentationen,","","p2a"
"1.3.2","bewerten verschiedene Argumentationen (z. B. in Texten und Darstellungen aus digitalen Medien),","","u4a"
"1.3.3","stellen selbstständig Fragen, die für die Mathematik charakteristisch sind, und äußern begründet Vermutungen.","","a3z"
"2","Mathematisch kommunizieren","""""Zu dieser Kompetenz gehören sowohl das Entnehmen von Informationen aus Texten, mündlichen Äußerungen oder sonstigen Quellen als auch das Darlegen von Überlegungen, Lösungswegen bzw. Ergebnissen in mündlicher und schriftlicher Form auch unter Verwendung einer adressatengerechten Fachsprache. Das Spektrum reicht von der direkten Informationsentnahme aus Texten des Alltagsgebrauchs bzw. vom Aufschreiben einfacher Lösungswege bis hin zum sinnentnehmenden Erfassen fachsprachlicher Texte bzw. vom Dokumentieren einfacher Lösungswege zum strukturierten Darlegen oder Präsentieren eigener Überlegungen, auch mit Hilfe geeigneter Medien. \n\n Die Schülerinnen und Schüler""""","f2v"
"2.1","Reproduzieren","","h9t"
"2.1.1","formulieren einfache mathematische Sachverhalte mit eigenen Worten und mithilfe mathematischer Begriffe mündlich und schriftlich,","","q2a"
"2.1.2","entnehmen Informationen aus einfachen mathematikhaltigen Texten und Abbildungen,","","a6v"
"2.1.3","reagieren sach- und adressatengerecht auf Fragen und Kritik zu eigenen Lösungen,","","y6t"
"2.2","Zusammenhänge herstellen","","s5r"
"2.2.1","stellen Überlegungen, Lösungswege bzw. Ergebnisse und Verfahren verständlich dar,","","d4t"
"2.2.2","erfassen, interpretieren und deuten komplexere mathematikhaltige Texte und Abbildungen sinnentnehmend und strukturieren Informationen,","","x5a"
"2.2.3","Verwenden die mathematische Fachsprache situationsangemessen und erklären ihre Bedeutung,","","y9y"
"2.2.4","gehen fachbezogen auf Äußerungen von anderen zu mathematischen Inhalten ein (z. B. konstruktiver Umgang mit Fehlern, Weiterführen mathematischer Ideen),","","z3t"
"2.3","Verallgemeinern und Reflektieren","","v4v"
"2.3.1","präsentieren sachgerecht komplexe mathematische Sachverhalte mündlich und schriftlich,","","v5p"
"2.3.2","interpretieren und beurteilen komplexe mathematische Texte sinnentnehmend,","","x5z"
"2.3.3","vergleichen und bewerten Äußerungen von anderen zu mathematischen Inhalten sachlich und fachlich angemessen.","","p3y"
"3","Probleme mathematisch lösen","""""Diese Kompetenz beinhaltet, ausgehend vom Erkennen und Formulieren mathematischer Probleme, das Auswählen geeigneter Heurismen sowie das Entwickeln und Ausführen geeigneter Lösungswege. Das Spektrum reicht vom Bearbeiten vorgegebener und selbst formulierter Probleme auf der einen Seite bis hin zum Überprüfen der Plausibilität von Ergebnissen, dem Finden von Lösungsideen und dem Reflektieren von Lösungswegen auf der anderen Seite. Geeignete Heurismen (u. a. Skizzen erstellen, systematisch probieren, rückwärts arbeiten, zerlegen und ergänzen) zum Problemlösen werden ausgewählt und angewendet. \n\n Die Schülerinnen und Schüler""""","g6s"
"3.1","Reproduzieren","","v3u"
"3.1.1","geben Heurismen an (z. B. Skizze erstellen, systematisch probieren),","","z2t"
"3.1.2","lösen einfache Probleme mit bekannten Heurismen (z. B. systematisches Probieren),","","g5x"
"3.2","Zusammenhänge herstellen","","v7q"
"3.2.1","formulieren  Problemstellungen,","","s4p"
"3.2.2","wählen geeignete Heurismen zur Lösung entsprechender Probleme aus,","","v9d"
"3.2.3","überprüfen die Plausibilität von Ergebnissen,","","h5q"
"3.3","Verallgemeinern und Reflektieren","","f7g"
"3.3.1","lösen anspruchsvolle, komplexe oder offen formulierte Probleme,","","t6f"
"3.3.2","reflektieren das Finden von Lösungsideen, vergleichen und beurteilen verschiedene Lösungswege.","","h6d"
"4","Mathematisch modellieren","""""Beim mathematischen Modellieren geht es um das Lösen eines realen Problems mit Hilfe von Mathematik. Von besonderer Bedeutung dabei ist das Übersetzen zwischen Realsituationen und mathematischen Begriffen, Resultaten oder Methoden. Typische Teilschritte des Modellierens sind das Strukturieren und Vereinfachen gegebener Realsituationen, das Übersetzen realer Gegebenheiten in mathematische Modelle, das Arbeiten im mathematischen Modell, das Interpretieren mathematischer Ergebnisse in Bezug auf Realsituationen und das Überprüfen von Ergebnissen sowie des Modells im Hinblick auf Stimmigkeit und Angemessenheit bezogen auf die Realsituation. Das Spektrum reicht von Standardmodellen (z. B. proportionale Zuordnung) bis hin zu komplexeren Modellierungen (z. B. geometrische Konstruktionen, Sinusfunktion, Exponentialfunktion, Zufallsexperimente).\n\n Die Schülerinnen und Schüler""""","a2p"
"4.1","Reproduzieren","","x7x"
"4.1.1","ordnen einfachen Realsituationen aus dem Alltag mathematische Objekte zu,","","d6b"
"4.1.2","nutzen bekannte und direkt erkennbare Modelle (z. B. Proportionalität bzw. Dreisatz),","","f6c"
"4.1.3","prüfen die Passung der Resultate zur Aufgabenstellung,","","a3e"
"4.2","Zusammenhänge herstellen","","p5z"
"4.2.1","wählen ein geeignetes mathematisches Modell aus,","","y7r"
"4.2.2","nehmen Mathematisierungen vor, die mehrere Schritte erfordern,","","u9y"
"4.2.3","interpretieren Ergebnisse einer Modellierung,","","r6s"
"4.2.4","prüfen Ergebnisse einer Modellierung auf Plausibilität in Bezug auf die Ausgangssituation,","","x7s"
"4.2.5","ordnen einem mathematischen Modell passende Situationen zu,","","x4a"
"4.3","Verallgemeinern und Reflektieren","","s2e"
"4.3.1","modellieren komplexe oder unvertraute Situationen und entwickeln ggf. eigene Modelle,","","s2c"
"4.3.2","reflektieren und beurteilen verwendete mathematische Modelle kritisch, z. B. in Bezug auf die Realsituation,","","z9v"
"4.3.3","entscheiden, ob der Modellierungskreislauf erneut durchlaufen werden sollte.","","f9f"
"5","Mathematisch darstellen","""""Diese Kompetenz umfasst das Erzeugen und Vernetzen von sowie das Umgehen mit mathematischen Darstellungen - der grafisch-visuellen, algebraisch-formalen, numerisch-tabellarischen, verbal-sprachlichen Darstellung. Das Spektrum reicht von Anwenden, Interpretieren und Unterscheiden von Standarddarstellungen über den Wechsel geeigneter mathematischer Darstellungen bis hin zum Erstellen eigener Darstellungen, die dem Strukturieren und Dokumentieren individueller Überlegungen dienen. \n\n Die Schülerinnen und Schüler""""","r5q"
"5.1","Reproduzieren","","t5b"
"5.1.1","nutzen und erzeugen vertraute und geübte Darstellungen von mathematischen Objekten und Situationen,","","d2e"
"5.1.2","interpretieren vertraute Darstellungen,","","r5a"
"5.2","Zusammenhänge herstellen","","q3f"
"5.2.1","wählen eine Darstellung passend zur Problemstellung aus,","","d6c"
"5.2.2","wechseln sachgerecht zwischen mathematischen Darstellungen und erklären, wie sie vernetzt sind,","","v2s"
"5.2.3","übersetzen symbolische und formale Sprache in natürliche Sprache und umgekehrt,","","t4t"
"5.3","Verallgemeinern und Reflektieren","","t3f"
"5.3.1","entwickeln eigene Darstellungen,","","f2c"
"5.3.2","analysieren und beurteilen verschiedene Formen der Darstellung entsprechend ihres Zwecks,","","z6s"
"5.3.3","interpretieren nicht vertraute Darstellungen und beurteilen ihre Aussagekraft.","","z3b"
"6","Mit mathematischen Objekten umgehen","""""Diese Kompetenz beinhaltet das verständige Umgehen mit mathematischen Objekten wie Zahlen, Größen, Symbolen, Variablen, Termen, Formeln, Gleichungen und Funktionen sowie in der Geometrie Strecken, Winkeln und Kreisen mit und ohne Hilfsmittel. Das Spektrum reicht hier von einfachen, überschaubaren Routineverfahren bis hin zu komplexen Verfahren einschließlich deren reflektierender Bewertung. Diese Kompetenz beinhaltet auch Faktenwissen und Regelwissen für ein zielgerichtetes und effizientes Bearbeiten von mathematischen Aufgabenstellungen.\n\n Die Schülerinnen und Schüler""""","s7h"
"6.1","Reproduzieren","","q7d"
"6.1.1","verwenden Routineverfahren (z. B. Lösen einer linearen Gleichung),","","y7u"
"6.1.2","gehen mit vertrauten mathematischen Objekten (z. B. Strecken, Termen, Gleichungen) um,","","r7h"
"6.2","Zusammenhänge herstellen","","q2v"
"6.2.1","führen komplexere Lösungs- und Kontrollverfahren aus,","","b9f"
"6.2.2","beschreiben die innere Struktur mathematischer Objekte (z. B. von Termen) und gehen flexibel und sicher mit ihnen um,","","z3g"
"6.3","Verallgemeinern und Reflektieren","","h3b"
"6.3.1","bewerten Lösungs- und Kontrollverfahren hinsichtlich ihrer Effizienz,","","c2q"
"6.3.2","beschreiben die innere Struktur von Lösungsverfahren, erfassen deren Allgemeingültigkeit und übertragen die Verfahren auf neue Situationen.","","a5e"
"7","Mit Medien mathematisch arbeiten","""""Mathematische Bildung in der digitalen Welt umfasst: Fachliche Kompetenzen digital zu fördern und digitale Kompetenzen fachlich zu fördern. Darüber hinaus sollte ein Beitrag geleistet werden zur digitalen personalen Bildung, um Mathematik für die kritische Rezeption von Alltagsmedien zu nutzen. Dazu gehört der Umgang analoger Medien (Schulbuch, Lineal, Körpermodell, Formelsammlung, Spielwürfel, ...) im Verbund mit digitalen Medien. Digitale Medien, die für das Lernen und Lehren von Mathematik relevant sind, umfassen mathematikspezifische sowie allgemeine Medien. Mathematikspezifisch sind insbesondere digitale Mathematikwerkzeuge als themenübergreifende Medien, aber auch themenspezifische mathematikhaltige Medien (z. B. Apps, interaktive Lernangebote). Allgemeine Medien (z. B. Videos, Textverarbeitung, Präsentationsmedien) spielen eine Rolle, da sie erfordern, mathematikhaltige Informationen zu bündeln, zu präsentieren und nach mathematischen Kriterien zu beurteilen. Das Spektrum der Kompetenzen reicht von der Nutzung analoger Medien, der kritischen Prüfung von Informationen der digitalen Welt unter mathematischen Gesichtspunkten, der Verwendung digitaler Mathematikwerkzeuge (z. B. Tabellenkalkulation oder Geometriesoftware) und Lernumgebungen über die Erstellung und Gestaltung eigener allgemeiner Medien wie Videos und Präsentationen bis hin zur bewussten Verwendung, Entwicklung und Reflexion von Algorithmen mit Hilfe digitaler Medien.\n\n Die Schülerinnen und Schüler""""","s2z"
"7.1","Reproduzieren","","q7v"
"7.1.1","verwenden allgemeine Medien zur Kommunikation (z. B. Recherche in Fachliteratur oder Internet, Nutzung von Lernplattformen) und zur Präsentation mathematischer Inhalte in Situationen, in denen der Einsatz geübt wurde,","","y3h"
"7.1.2","nutzen analoge und digitale Lernumgebungen zum Lernen von Mathematik,","","b3d"
"7.1.3","nutzen analoge und digitale Mathematikwerkzeuge (z. B. wissenschaftlichen Taschenrechner), die aus dem Unterricht vertraut sind,","","e7c"
